Sector,Date,TOTAL_SCORE,Bull_Prob_Raw,Volume_Z,Open,High,Low,Close,Volume_Metric,Fit_Type,ACTION,Position_Size,Market_Score,Market_Regime,Market_Source,Strategy,Threshold_Buy,Threshold_Sell,Excess_Prob,Rotation_Status,Dispersion
风电设备,2025-07-01,0.9229131789037271,0.9288179527622924,0.214798,113.652,114.243,114.243,114.243,0.214798,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.22309085898802195,MODERATE ROTATION,0.3336416472975362
家用电器,2025-07-01,0.6706149354707857,0.7657159300417786,-1.36273,143.115,143.264,143.264,143.264,-1.36273,Full (Ret+Vol+Var),🟡 NEUTRAL,0.3,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.02920738444491955,MODERATE ROTATION,0.3336416472975362
电力,2025-07-01,0.5731058305310716,0.5966075561407316,-0.506015,125.34,126.407,126.407,126.407,-0.506015,Full (Ret+Vol+Var),🟡 NEUTRAL,0.3,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.12671648938463365,MODERATE ROTATION,0.3336416472975362
白酒,2025-07-01,0.6998223199157052,0.6935346271906463,-0.899911,86.7099,86.3685,86.3685,86.3685,-0.899911,Full (Ret+Vol+Var),🟡 NEUTRAL,0.3,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.0,MODERATE ROTATION,0.3336416472975362
电网设备,2025-07-01,0.738906491290787,0.7544600562674373,-0.384287,121.146,121.202,121.202,121.202,-0.384287,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.0390841713750818,MODERATE ROTATION,0.3336416472975362
电池,2025-07-01,0.7278695025751163,0.8056210732679402,-0.0762629,163.885,163.25,163.25,163.25,-0.0762629,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.028047182659411085,MODERATE ROTATION,0.3336416472975362
整车,2025-07-01,0.9579064821488055,0.9380632054325523,-0.364672,145.247,145.054,145.054,145.054,-0.364672,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.25808416223310027,MODERATE ROTATION,0.3336416472975362
有色金属,2025-07-01,0.9260616390895173,0.8873880355441118,0.196205,152.23,154.94,154.94,154.94,0.196205,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.22623931917381213,MODERATE ROTATION,0.3336416472975362
能源,2025-07-01,0.9417914754850608,0.9932200121872243,-0.983221,125.592,126.211,126.211,126.211,-0.983221,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.2419691555693556,MODERATE ROTATION,0.3336416472975362
机器人,2025-07-01,0.2547914136289615,0.35401273625513363,-1.02272,121.244,120.201,120.201,120.201,-1.02272,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.4450309062867437,MODERATE ROTATION,0.3336416472975362
专业设备制造,2025-07-01,0.7352454144845645,0.7623959665733973,-0.644428,135.339,134.778,134.778,134.778,-0.644428,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.03542309456885928,MODERATE ROTATION,0.3336416472975362
银行,2025-07-02,0.0,0.0,-0.39128,173.448,174.099,174.099,174.099,-0.39128,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.9448652151990136,HIGH ROTATION,0.3516139414154486
非银金融,2025-07-02,1.0,0.9426127536377873,0.0106652,153.018,152.564,152.564,152.564,0.0106652,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.055134784800986436,HIGH ROTATION,0.3516139414154486
半导体设计,2025-07-02,0.0,0.006324522141556412,-0.537366,185.007,181.656,181.656,181.656,-0.537366,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.9448652151990136,HIGH ROTATION,0.3516139414154486
半导体制造,2025-07-02,1.0,1.0,-0.192214,157.351,154.175,154.175,154.175,-0.192214,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.055134784800986436,HIGH ROTATION,0.3516139414154486
半导体设备,2025-07-02,0.29975307750277014,0.2533397044146506,-0.764177,149.577,146.603,146.603,146.603,-0.764177,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.6451121376962434,HIGH ROTATION,0.3516139414154486
半导体材料,2025-07-02,0.9448652151990136,0.9564862356399818,0.214372,130.868,128.927,128.927,128.927,0.214372,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.0,HIGH ROTATION,0.3516139414154486
软件,2025-07-02,0.96611925,1.0,-0.677615,137.599,135.541,135.541,135.541,-0.677615,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.02125403480098642,HIGH ROTATION,0.3516139414154486
光模块中游,2025-07-02,0.8783652124556451,0.9098695284787793,0.521664,200.249,192.183,192.183,192.183,0.521664,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.06650000274336842,HIGH ROTATION,0.3516139414154486
液冷,2025-07-02,0.8445263493451567,0.9108751246992101,-0.708005,166.667,163.763,163.763,163.763,-0.708005,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.10033886585385687,HIGH ROTATION,0.3516139414154486
军工电子,2025-07-02,0.20544477270853814,0.2649541435729022,0.713662,147.805,144.985,144.985,144.985,0.713662,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.7394204424904754,HIGH ROTATION,0.3516139414154486
风电设备,2025-07-02,0.9724921043642468,0.979684505962061,1.16476,114.243,113.85,113.85,113.85,1.16476,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.02762688916523326,HIGH ROTATION,0.3516139414154486
家用电器,2025-07-02,0.9621492953251694,0.9051590317949655,-0.178662,143.264,144.946,144.946,144.946,-0.178662,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.017284080126155787,HIGH ROTATION,0.3516139414154486
电力,2025-07-02,1.0,1.0,-0.242093,126.407,126.344,126.344,126.344,-0.242093,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.055134784800986436,HIGH ROTATION,0.3516139414154486
白酒,2025-07-02,0.7300635722868286,0.7313283739463584,-0.415324,86.3685,86.7106,86.7106,86.7106,-0.415324,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.21480164291218495,HIGH ROTATION,0.3516139414154486
电网设备,2025-07-02,0.8847410262668862,0.8276546619745413,0.03461,121.202,121.63,121.63,121.63,0.03461,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.06012418893212734,HIGH ROTATION,0.3516139414154486
电池,2025-07-02,0.9672517727347385,0.9969283365281009,-0.601661,163.25,162.294,162.294,162.294,-0.601661,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.022386557535724938,HIGH ROTATION,0.3516139414154486
整车,2025-07-02,0.959505785856487,0.9454257980593105,-0.853033,145.054,145.055,145.055,145.055,-0.853033,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.014640570657473484,HIGH ROTATION,0.3516139414154486
有色金属,2025-07-02,0.92305609828785,0.8919926689016641,1.44571,154.94,156.901,156.901,156.901,1.44571,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.021809116911163606,HIGH ROTATION,0.3516139414154486
能源,2025-07-02,0.9892316632897844,0.9913915541059832,-0.455127,126.211,126.619,126.619,126.619,-0.455127,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.04436644809077084,HIGH ROTATION,0.3516139414154486
机器人,2025-07-02,0.3058276969536679,0.32953770460589166,-0.861747,120.201,119.008,119.008,119.008,-0.861747,Full (Ret+Vol+Var),🟡 HOLD/WATCH,0.5,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.6390375182453456,HIGH ROTATION,0.3516139414154486
专业设备制造,2025-07-02,1.0,0.995678108095994,0.777792,134.778,138.202,138.202,138.202,0.777792,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.9448652151990136,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.055134784800986436,HIGH ROTATION,0.3516139414154486
银行,2025-07-03,0.586502580504275,0.4865025805042749,-0.445739,174.099,173.227,173.227,173.227,-0.445739,Full (Ret+Vol+Var),🟡 HOLD/WATCH,0.5,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.1706527493037373,MODERATE ROTATION,0.2842195314929492
非银金融,2025-07-03,1.0,0.9702476287301982,-0.101066,152.564,153.004,153.004,153.004,-0.101066,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.24284467019198774,MODERATE ROTATION,0.2842195314929492
半导体设计,2025-07-03,0.06816404547838217,0.05360795045719538,-0.728946,181.656,180.802,180.802,180.802,-0.728946,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.6889912843296301,MODERATE ROTATION,0.2842195314929492
半导体制造,2025-07-03,0.2614585073608944,0.26506196235211693,-0.654764,154.175,154.247,154.247,154.247,-0.654764,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.4956968224471179,MODERATE ROTATION,0.2842195314929492
半导体设备,2025-07-03,0.3915715263763304,0.3797910211443684,-0.760614,146.603,147.14,147.14,147.14,-0.760614,Full (Ret+Vol+Var),🟡 HOLD/WATCH,0.5,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,-0.36558380343168184,MODERATE ROTATION,0.2842195314929492
半导体材料,2025-07-03,0.9284752066452838,0.9721638951342706,-0.741748,128.927,127.923,127.923,127.923,-0.741748,Full (Ret+Vol+Var),🟢 STRONG BUY,1.0,0.7571553298080123,🚀 Strong Bull,Sector Median,Aggressive sector rotation,0.75,0.25,0.17131987683727157,MODERATE ROTATION,0.2842195314929492
