index,Sector,RS_Score,Reversal_Score,Trend_Score,ATR_Score,Contra_Vol_Score,LT_Filter,TOTAL_SCORE,ACTION,Open,High,Low,Close,Volume_Metric,Date
13,能源,0.0,0.0,0.1,0.9,0.0,0.0,0.9513318867256872,RED (EXIT/AVOID),118.47294076816327,119.13322461174549,117.64326908578562,118.54679116998203,-0.765747822545668,2025-07-01
0,MARKET_PROXY,2.0,0.0,0.7,0.0,0.0,0.0,2.7297237242953307,RED (EXIT/AVOID),172.7821617307315,174.29205761834135,170.93714143249116,172.76786846994693,-0.38279393541567414,2025-07-02
1,银行,0.0,0.0,0.5,0.0,0.0,0.0,0.5443315970300071,RED (EXIT/AVOID),171.25946444095192,172.78077055772192,170.7064895152992,171.4136065555883,-0.717448663683364,2025-07-02
2,非银金融,0.0,0.0,0.5,0.0,0.0,0.0,0.47152309925461067,RED (EXIT/AVOID),150.27961458536603,151.15332860816252,149.18159109801826,149.79554465930585,-0.6930379902677708,2025-07-02
3,半导体,0.0,0.0,0.1,0.0,2.0,-3.0,-0.8851325694149432,RED (EXIT/AVOID),212.38571596213876,212.77156473477754,207.86999550548137,208.90357467349344,-0.591874038317598,2025-07-02
4,软件,0.0,0.0,0.2,0.0,0.0,-3.0,-2.7517211399935917,RED (EXIT/AVOID),130.2844499522203,130.9664593281681,128.33598204063287,128.77272781669456,-0.569819362413682,2025-07-02
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),177.83539902117954,179.9106295437878,171.8195523620799,174.48347781962542,0.10184607107058426,2025-07-02
6,军工电子,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),171.02154018379167,172.78838448917037,166.77107611461014,168.0830769311519,0.3444466089053971,2025-07-02
7,家用电器,0.0,0.0,-0.2,0.9,2.0,-3.0,-0.3064930994251247,RED (EXIT/AVOID),134.9408767120933,138.22959356111224,134.54073090985975,137.26950445104615,0.8415187988052848,2025-07-02
8,电力,0.0,0.0,-0.1,0.9,2.0,0.0,2.831626338693358,RED (EXIT/AVOID),124.84086781854525,125.3503350296168,124.36672992103617,124.68607495007046,-0.848350778195346,2025-07-02
9,白酒,0.0,0.0,-0.4,1.0,0.0,-3.0,-2.4630804270953046,RED (EXIT/AVOID),75.7003178951532,76.63665774843338,75.45994753689924,76.0163035430909,0.004476623248631767,2025-07-02
10,电网设备,0.0,0.0,0.2,0.8,2.0,0.0,3.006099572384958,YELLOW (WATCH/HOLD),119.7032915770333,121.09056399442866,119.03386119731768,120.30120735606596,0.07311108773095386,2025-07-02
11,电池,2.0,0.0,1.0,0.0,0.0,0.0,2.9816888067169645,RED (EXIT/AVOID),140.24857783466618,140.7422224922009,137.83932466662026,138.66545516394876,-0.24595620041340088,2025-07-02
